,text_pl,text_en
36,przyrządzanie potraw z marchwi wyciskanie soku marchew jako naturalne źródło witamin przygotowywanie potraw i komentarz dietetyka zbiór marchwi oraz przygotowanie produktu do sprzedaży a następnie sposób wykorzystania jej przez klienta zdrowe odżywianie wspieranie polskiego rolnictwa,food preparation carrot juicing carrots as a natural source of vitamins and food preparation carrot comment nutritionist collection and preparation of the product for sale and the use of its customer support healthy eating Polish agriculture
37,króliki  zachęcić do częstszego spożywania  królik w okularach tłumaczy jak ważne w dicie są witaminy zawarte w marchwii króliki jedzące marchew  wartości odżywcze marchwi,rabbits encourage greater consumption of rabbit with glasses explains how important Dici vitamins contained in carrot-eating rabbits carrots nutritional value of carrots
38,zwierzątka marchew może jakiś ogródek  marchew jest zdrowa  coś pozytywnego i zabawnego zwierzątka jedzące marchew zdrowe odżywianie,maybe some animals carrot carrots garden is healthy something positive and funny animals who eat carrots healthy eating
39,opisanie tego warzywa podanie odmiany i smaku rozmiaru etc zachęcającoinformacyjny pokazanie jak ta marchew wygląda np posiłki które można przyrządzić z marchwią rodzinność wspólnej spożywanie posiłku,describe the application of this vegetable variety and taste zachęcającoinformacyjny size etc to show how this looks such as carrots meals that you can cook with carrots familism common eating meal
40,piekne soczyste naturalne marchewki moment wyciągnięcia z ziemi z ogródka jak i mycia w źródlanej wodzie i jej piękny już czysty wygląd  marchew jest zdrowa smaczna i pyszna 🙂 w sumie to co napisałam w  to co w odp  właściwości zdrowotne dużo witaminy a smaczny słodkawy smak,beautiful natural juicy carrot moment draw from earth from the garden and wash in spring water and its beautiful already clean look healthy carrot is tasty and delicious 🙂 total of what I wrote in reply to what the health benefits of vitamins and a lot of tasty sweet taste
41,przygotowanie posilku ze swieza marchwia swiezy i dobry produkt  rodzina wspolnie przygotowuje posilek  zacheta do kupna  zdrowe odzywianie swieze posilki,prepare meals with fresh carrots fresh and good product family jointly preparing a meal incentive to buy fresh healthy nutrition meals
42,pole zaprezentować produkt ukazanie procesu uprawy warzywa marchew zdrowe odżywianie,box to present a product to show the process of growing vegetables healthy eating carrots
43,konkretną odmianę marchwi zachęcić do zakupu marchwiprzedstawienie nowej marchwi by były przekazywane prawdziwe oraz ciekawe fakty o marchwi zdjęcia marchwi oraz jej spożycie marchew jest niezbędna dla oglądających więc muszą ją kupić,specific variety of carrot to encourage the purchase of new marchwiprzedstawienie carrots were transferred to a real and interesting facts about pictures of carrots carrots carrots and its consumption is necessary for viewers so they have to buy it
44,jej uprawę sposób zbioru i opinię ekspertów a pro po korzyści z jej jedzenia zachęta do zdrowego odżywiania na początku reklamy krótkie wprowadzenie jak uprawiana jest marchew a następnie wypowiedź prawdziwego eksperta w dziedzinie odżywiania warzywami lekarza dietetyka schemat obrazujący przypływ korzyści kupna i skonsumowania marchwi idea zdrowego odżywiania  zachęta do kupowania polskich produktów  np właśnie owej marchwi,"its cultivation method of harvesting and expert opinion and pro after the benefits of the food to encourage healthy eating at the beginning of the ad brief introduction as grown carrots and then saying a true expert in the field of nutrition vegetables doctor nutritionist diagram showing a surge of the benefits of buying and consummate carrots idea of ​​healthy eating encouragement to buy Polish products, eg on that particular carrot"
45,pole z którego pochodzi marchew  informacje o wpływie na zdrowie  kolorowy szybki jasny przekaz  propozycje podania zdrowy styl zycia,field carrots from which information about the health effects of high-speed color giving a clear message to the proposals healthy lifestyle
46,świeże warzywo przekaz powinien zawierać informację o korzyściach dla zdrowia może sposobie uprawy marchew mogłaby zostać powiązana ze zdrowym stylem życia  zdrowych pełnych energii ludzi jako synonim zdrowego odżywiania się zdrowe odżywianie przynosi długotrwałe korzyści dla zdrowia,fresh vegetable message should include information about the health benefits how can the cultivation of carrots could be associated with a healthy lifestyle healthy people full of energy as a synonym for healthy eating healthy eating has long-lasting health benefits
47,gospodarstwa zajmujące się uprawą marchwi ludzi pracujących przy tym biznesie że marchew jest zdrowym warzywem i jej spożywanie wiąże się z dużymi korzyściami zdrowotnymi proces dzięki któremu marchew trafia z upraw do sklepu proces uprawy marchwi jak ludzie uprawiający ją troszczą się o jakość upraw zbilansowane odżywianie zdrowy tryb życia ekologia upraw,"holdings specializing in growing carrots people working in this business that carrot is a healthy vegetable, and its consumption is associated with major health benefits the process by which a carrot goes from crop to store the process of cultivation of carrots as people who practice it are concerned about crop quality balanced nutrition healthy lifestyle crop ecology"
48,soczyste kawałki marchewki ciekawe dania z marchewki soki promowanie zdrowego żywienia minimalizm  bliskie ujęcia na jedzenie jak w  różnorodność marchewek w kulinarii,juicy carrot pieces of interesting dishes with carrot juice promoting healthy diets minimalism close shots on the food as in a variety of sticks in kulinarii
49,szczegółowe informacje na ich temat żeby móc coś zapamiętać i wynieść z reklamy naukowyrozrywkowy zastosowania marchwi na które bym nie wpadł marchew pod mikroskopem ideę świadomego jedzenia,detailed information about them to be able to remember something and the amount of advertising naukowyrozrywkowy use the carrot that I would not fall under the microscope carrots idea of ​​conscious eating
50,korzyści wynikające z jedzenia marchwi marchew jest smaczna i zdrowa chciałbym aby w reklamie było ukazane że jest to produkt polski i ekologiczny  wyniki badań ciekawostki o leczniczym działaniu marchwi reklama ta  powinna przekazywać jak ważne jest spożywanie marchwi oraz kupowanie jej od lokalnych producentów stosujących ekologiczne nawozy,"the benefits of eating carrots carrots is a delicious and healthy, I would like to in the ad was shown that it is a Polish product and environmental test results of the therapeutic effect of interest carrot advertising should convey how important it is to eat carrots and buying it from local producers using organic fertilizers"
51,źródło pochodzenia  wartości odżywcze  powiedzenie czemu warto je jeść poparte faktami  marchew  zdrowy styl życia ekologiczne uprawy,source of nutrients saying you should eat them substantiated carrots healthy lifestyle organic crops
52,marchew króliki  warzywa to samo zdrowie  dziecko które je marchew i daje kawałek królikowi jakie witaminy ma w sobie marchew  marchew to źródło witamin,rabbits carrots vegetables the same child health which gives them a carrot and a piece of the rabbit which has the vitamins carrots carrots is a source of vitamins
53,jak rosną na polu pokazałaby że marchew jest zdrowa  i warto wspierać polskie uprawy aby rolnik opowiedział o swoim zajęciu pole rolnika naturę lokalne uprawy,as they grow in the field would show that the carrot is healthy and worth supporting Polish crops to the farmer told of his occupation of a farmer's field nature of local crops
54,warzywa naturalne nie upiększane  promować zdrowa żywność prosto od rolnika  prawdziwy rzetelny obraz uprawy marchwii naturalna marchew wyrywana z ziemi  promować naturę,"vegetables, natural beautification not promote healthy food straight from the farmer true fair view of the growing natural carrot carrots pulled off from the ground to promote nature"
55,marchew miałaby zachęć do spożywania marchwi jako warzywa dobrego dla zdrowia jak najlepsza prezentacja marchwi ujęcia jej zbierania mycia krojenia dodawania do obiadu  że tak zareklamowanie marchwi w akcji marchew promocję zdrowego odżywiania,carrots would encourage them to consume vegetables as carrots good for health as the best presentation of her collection carrot approach of adding to wash cutting dinner so that advertise carrots in action to promote healthy eating carrots
56,zdrową rodzinę jedzącą marchew marchew jest zdrowa rodzina ma jeść marchew dużo marchwi jednoczenie się rodziny,healthy family eating a carrot is a carrot healthy family has to eat a lot of carrots carrot family unification
57,gadające marchewki humor jak z sausage party ale w taki sposób to zrobione aby można było dowiedzieć się jakiś ciekawostek dlaczego marchewki są zdrowe ciekawostki o marchewce można byłoby pokazać jak rośnie marchew pod ziemią i dlaczego są zdrowe ale dokładniej wyjaśnić mogą być wybuchy bo słychać jak marchewki chrupią jak się je je śpiew marchewek tańczące marchewki małeduzekrzywegrube co by nie pokazywać że każda marchewka jest idealna bo czasami te duże i grube są smaczniejsze a mówi to wielbicielka marchewek p  nadać charaktery marchewką np marchewkowa magda gessler albo marchewkowi sportowcy  marchewka zdrowasportowcy którzy są uważani za zdrowych ludzi z sukcesami że pomarańczowe ręce są fajne i że to taka super moc od jedzenia marchewek d że jedzenie marchewki to zdrowie że marchewki jedzą sportowcy że jedzenie marchewki jest fajne,talking carrot humor like a sausage party but in a way this is done so that you can learn some interesting facts why carrots are healthy tidbits about the carrot could be shown how to grow carrots underground and why are healthy but more precisely explain can be explosions because I heard as a carrot champ as they are they singing carrots dancing carrots małeduzekrzywegrube what not to show that each carrot is perfect because sometimes these large and thick they are tastier and says this lover of carrots p give the characters carrot eg carrot magda Gessler or marchewkowi athletes carrot zdrowasportowcy who are considered healthy people with the success of the orange hands are cool and that is the great strength from eating carrots d that eating carrots is good for health that athletes eat carrots that eating carrots is cool
58,przykładowe potrawy z wykorzystaniem marchwi  że zdrowe jedzenie nie musi być nudne prezentowanie korzyści płynących z jedzenia warzyw które można połączyć z spędzaniem czasu z rodziną i przyjaciółmi przykładowe posiłki na bazie tego warzywa zdrowy tryb życia wspólne posiłki lub ich przygotowywanie z bliskimi,sample dishes using the carrot that healthy eating does not have to be boring to present the benefits of eating vegetables that can be combined with spending time with family and friends examples of meals based on this vegetable a healthy lifestyle meals together or preparation of close
59,proces od zasiania do zbioru zdrowe odżywianie pokazanie okresu wzrostu marchwi ukazanie ciężkiej pracy rolnika to że od rolnika zależy to co jemy,the process from planting to harvesting healthy eating carrots to show growth period show the hard work that the farmer is a farmer depends on what we eat
60,duże czyste i świeże marchewki to że są bardzo zdrowe ogrodnik wyrywa świeże marchewki z pola sałatka warzywna z marchewką w roli głównej  zdrowie moc energie,large clean and fresh carrots is that they are very healthy gardener pulls fresh carrots from the field vegetable salad with carrot starring health power energy
61,marchew ziemia pole marchwi ludzie jedzący marchew że marchew jest tania a zdrowa smaczna ktoś opowiada o składnikach marchwi co dostarcza marchew w diecie jak rośnie marchew marchew i warunki jej rośnięcia zdrowe żywienie np jako forma zdrowego drugiego śniadania dla dzieci,carrot carrots earth field that people eating carrots carrots is cheap and healthy tasty someone talks about the ingredients of carrots which provides carrots in your diet as carrots and carrot growing conditions it grow healthy nutrition such as the form of a healthy lunch for kids
62,marchew produkty z niej stworzone  jak w fajny sposób wprowadzić marchew do diety pokazanie radości i profitów z jedzenia jej szczęście witaminy witalność zdrowy styl życia zdrowie samo w sobie,carrot products made from it as a cool way to introduce a carrot to the diet and profits show the joy of eating her happiness vitality vitamin healthy lifestyle health itself
63,timelaps wzrostu marchwi uświadomienie konsumenta w jaki sposob obchodzono się z ww produktem spożywczym  realistyczny wywiad z właścicielem polagospodarstwa które wyhodowali reklamowana marchew marchew w rożnych stadiach wzrostu świeżość i pochodzenie produktu jest najważniejsze,timelapse increase consumer awareness of carrots in the way we handled the aforementioned food product realistic interview with the owner of that polagospodarstwa bred carrots carrots advertised in various stages of growth freshness and origin of the product is the most important
64,króliki  marchew jest dobra  by króliki zajadaly się marchwia kroliki jedzace marchew ze marchew jest zdrowa i pyszniutka,rabbits carrots is good to rabbits zajadaly the rabbits eating carrots carrots with carrots is healthy and pyszniutka
65,jaskrawe kolory słońce lato wieś zdrowe odżywianie  praca przy zbiorach  krajobrazy i osoby ciemniejszej karnacji bo karoten zdrowy tryb życia,bright colors summer sun village work healthy eating harvesting landscapes and darker skinned people because carotene healthy lifestyle
66,ladne zdjęcia marchwi zwiększenie mojego zainteresowania tym warzywem i tym konkretnym rodzajem marchwi próba przekonania mnie o jej korzystnych właściwościach dla mojego zdrowia sposoby na jakie można czerpać korzyści ze spożywania warzywa zdrowe odżywianie inspiracje żywieniowe promocja produkcji krajowej,"nice photo carrots increase my interest in this vegetable, and this particular type of carrot attempt to convince me of its beneficial properties for the health of my ways that you can reap the benefits of consuming vegetables healthy eating habits inspiration promotion of domestic production"
67,sok z marchwi w celu zakupu marchwi mycie kopanie marchwi marchew zdrowe odżywianie,carrot juice in order to buy a carrot washing digging carrots carrots healthy eating
68,soczyste o wyrazistym kolorze marchewki prosto z ziemi zachęcenie do zakupu dobrych marchwi raczej spokój cisza polska wieś cały poces trafiania marchwi do sklepu aż od sadzenia jej przez rolnika dobrą ekologiczną uprawę dbanie o planetę,juicy with a distinctive color of carrots straight from the ground to encourage the purchase of good carrot rather calm quiet Polish village poces hitting the carrots to the store all the way from the farmer planting its good ecological cultivation of taking care of the planet
69,pola świeża marchew może jakieś badania  wartości odżywcze  proces jaki przechodzi marchew od zasadzenia do sklepu marchew i pola plusy jedzenia marchewki,Fresh carrots field maybe some nutritional studies how the process goes from planting carrots to store carrots and golf pros eating a carrot
70,chciałbym oglądać cały proces uprawy wraz z dostawą do marketu powinna skłonić odbiorcę do częstszego jedzenia marchwi jak w skrócie wygląda łańcuch dostaw produktu chciałbym zobaczyć profesjonalnie wykonane ujęcia bez zbędnych standardowych haseł reklamowych powinna pokazywać że warzywa są zdrowe i często należy je jeść,I would like to see the entire cultivation process with the delivery to the mall should persuade the viewer to more frequent eating carrots quickly review how the supply chain of the product I want to see professionally done without unnecessary shots of standard advertising slogans should show that vegetables are healthy and often to eat them
