,text
55,na reklamie marchwi chciałabym widzieć gospodarstwa małych rolników na których owa marchew rośnie sposób jej hodowli w której np wykluczone zostają produkty szkodliwe dla innych organizmów żyjących na uprawie chciałabym ewentualnie zobaczyć reklamę w której marchew była by przestawiona w sposób w jaki są przedstawiane leki czyli taka reklama zawierała by informacje o tym dlaczego taka marchew jest niezwykle ważna w naszej diecie i jakim chorobom może zapobiegać  taka reklama mogła by przekazywać nam informacje o właściwościach zdorowtnych marchwi oraz o tym że produkcja takiej marchwi jest w pełni bezpieczna i nie szkodzi środowisku mógłby wypowiadać się dietetyk który przy pomocy ilustracji mógłby zobrazować właściwości marchwii mogły by być pokazane dzieci którym rodzicom dają marchew  chciałabym zobaczyć jak osoby reklamujące marcher jedzą ją ewentualnie ujęcia z miejsca uprawy  taka reklama promowała by wsparcie małych gospodarstw polskich produktów prowadzenie zbilansowanej diety oraz ogromne znaczenie warzyw w diecie 
56,soki jedz zdrowo żeby chodziły zwierzęta ukazanie zbiorów marchwi produkcji  zwierzęta przedstawicieli danej produkcji  aby w szczególności najmłodsi odżywiali się prawidłowo żeby ukazać dobro natury oraz wartości odżywcze jakie dostarcza do organizmu 
57,nie wiem że marchew jest zdrowa dobra fabuła np historia rodziny i powiązanie jej z marchwią przystojnych aktorów  zdrowie które wynika z jedzenia marchewki 
61,marchewki które są naturalne 😆 czyli takie jak rosną na polu a nie czyściutkie wysmarowane oliwką czy innym nabłyszczaczem  tu chyba nie ma za dużego pola do popisu prosty przekaz  marchew to super sprawa pyszna i zdrowa bez zbędnych głupot  zwykli ludzie w zwykłych sytuacjach w większości reklam widzimy słabych aktorów i ich udawane miny to nie jest fajne czy te pytania nie są za bardzo do siebie podobne  to co w pyt  
65,świeże kolorowe zdrowe warzywa że marchew jest zdrowa jakaś krótka informacja dlaczego warto ją spożywać pole marchewki pokazywanie jak rośnie rolnik ją wykopujący prawdziwych polskich rolników i prawdziwą marchew nie idealną i równiutką ale krzywą zdrową marchew marchew jest zdrowa warzywa są zdrowe należy je spożywać  podkreślenie lokalności naturalnego jedzenia nie idealnie równa każda marchewka prawdziwe marchewki są krzywe
68,ogródek z różnymi warzywami żywe kolory żeby kupować regionalne warzywa żeby jeść więcej warzyw  ogrodnik podlewa warzywa królik chrupie marchewkę ogródek w którym jest wiele świeżych warzyw motyle i ptaki latają króliki biegają ogrodnik podlewa warzywamarchewkę  że warzywa są zdrowie i powinno się ich dużo jeść 
69,to czy są uprawiane zdrowo bez pestycydów że warto odżywiać się zdrowo pełno wesołych ludzi jedzących marchew ludzi jej wartości odżywcze
71,wiejskie krajobrazy kolorowe świeże warzywa miejsca upraw zachęcenie do zdrowego stylu życia promocję konsumpcji warzyw przedstawienie ciekawych faktów na temat marchwi pokazanie pracy przy uprawach ludzi pracujących przy uprawach marchwii promocja zdrowego stylu życia
72,dobre potrawy z marchwi edukacja zdrowotna coś przyciągającego uwagę pomysł na posiłek zdrowe odżywianie
73,ladne zdrowe warzywa ubrudzone ziemia wyglądające jak świeżo wyciągnięte  z ziemi promocja spożywania warzyw  ludzie uprawiajacy warzywa wyciągający z ziemi ladne zdrowe warzywa ubrudzone ziemia wyglądające jak świeżo wyciągnięte  z ziemi zdrowe odzywiania
76,króliki zajączki naturę  że jest zdrowa pożywna ma wiele wartości odżywczych jest tania i dobrze dostępna polska kosztowanie marchwi pokazanie jej maturalnej i ekologicznej uprawy procesy dbania o nią  od ziarna po trafienie na mój talerz zajączki ludzi wiele kolorów ładna pogodę dbanie o zdrowie o ekologię co kupujemy żeby kupować produkty pochodzenia lokalnegopolskiego
77,marchew wieś pole miałaby zachęcać do jedzenia warzyw  pokazanie jak rolnik zbiera marchew z zamiłowaniem  dużo pomarańczowego koloru natury  zdrowy tryb życia 
81,przyrządzanie potraw z marchwi wyciskanie soku marchew jako naturalne źródło witamin przygotowywanie potraw i komentarz dietetyka zbiór marchwi oraz przygotowanie produktu do sprzedaży a następnie sposób wykorzystania jej przez klienta zdrowe odżywianie wspieranie polskiego rolnictwa
82,króliki  zachęcić do częstszego spożywania  królik w okularach tłumaczy jak ważne w dicie są witaminy zawarte w marchwii króliki jedzące marchew  wartości odżywcze marchwi
87,zwierzątka marchew może jakiś ogródek  marchew jest zdrowa  coś pozytywnego i zabawnego zwierzątka jedzące marchew zdrowe odżywianie 
88,opisanie tego warzywa podanie odmiany i smaku rozmiaru etc zachęcającoinformacyjny pokazanie jak ta marchew wygląda np posiłki które można przyrządzić z marchwią rodzinność wspólnej spożywanie posiłku
90,piekne soczyste naturalne marchewki moment wyciągnięcia z ziemi z ogródka jak i mycia w źródlanej wodzie i jej piękny już czysty wygląd  marchew jest zdrowa smaczna i pyszna 🙂 w sumie to co napisałam w  to co w odp  właściwości zdrowotne dużo witaminy a smaczny słodkawy smak
95,przygotowanie posilku ze swieza marchwia swiezy i dobry produkt  rodzina wspolnie przygotowuje posilek  zacheta do kupna  zdrowe odzywianie swieze posilki
97,pole zaprezentować produkt ukazanie procesu uprawy warzywa marchew zdrowe odżywianie 
98,konkretną odmianę marchwi zachęcić do zakupu marchwiprzedstawienie nowej marchwi by były przekazywane prawdziwe oraz ciekawe fakty o marchwi zdjęcia marchwi oraz jej spożycie marchew jest niezbędna dla oglądających więc muszą ją kupić
103,jej uprawę sposób zbioru i opinię ekspertów a pro po korzyści z jej jedzenia zachęta do zdrowego odżywiania na początku reklamy krótkie wprowadzenie jak uprawiana jest marchew a następnie wypowiedź prawdziwego eksperta w dziedzinie odżywiania warzywami lekarza dietetyka schemat obrazujący przypływ korzyści kupna i skonsumowania marchwi idea zdrowego odżywiania  zachęta do kupowania polskich produktów  np właśnie owej marchwi
104,pole z którego pochodzi marchew  informacje o wpływie na zdrowie  kolorowy szybki jasny przekaz  propozycje podania zdrowy styl zycia
105,świeże warzywo przekaz powinien zawierać informację o korzyściach dla zdrowia może sposobie uprawy marchew mogłaby zostać powiązana ze zdrowym stylem życia  zdrowych pełnych energii ludzi jako synonim zdrowego odżywiania się zdrowe odżywianie przynosi długotrwałe korzyści dla zdrowia
106,gospodarstwa zajmujące się uprawą marchwi ludzi pracujących przy tym biznesie że marchew jest zdrowym warzywem i jej spożywanie wiąże się z dużymi korzyściami zdrowotnymi proces dzięki któremu marchew trafia z upraw do sklepu proces uprawy marchwi jak ludzie uprawiający ją troszczą się o jakość upraw zbilansowane odżywianie zdrowy tryb życia ekologia upraw
107,soczyste kawałki marchewki ciekawe dania z marchewki soki promowanie zdrowego żywienia minimalizm  bliskie ujęcia na jedzenie jak w  różnorodność marchewek w kulinarii
108, szczegółowe informacje na ich temat żeby móc coś zapamiętać i wynieść z reklamy naukowyrozrywkowy zastosowania marchwi na które bym nie wpadł marchew pod mikroskopem ideę świadomego jedzenia
111,korzyści wynikające z jedzenia marchwi marchew jest smaczna i zdrowa chciałbym aby w reklamie było ukazane że jest to produkt polski i ekologiczny  wyniki badań ciekawostki o leczniczym działaniu marchwi reklama ta  powinna przekazywać jak ważne jest spożywanie marchwi oraz kupowanie jej od lokalnych producentów stosujących ekologiczne nawozy 
119,źródło pochodzenia  wartości odżywcze  powiedzenie czemu warto je jeść poparte faktami  marchew  zdrowy styl życia ekologiczne uprawy 
120,marchew króliki  warzywa to samo zdrowie  dziecko które je marchew i daje kawałek królikowi jakie witaminy ma w sobie marchew  marchew to źródło witamin 
122,jak rosną na polu pokazałaby że marchew jest zdrowa  i warto wspierać polskie uprawy aby rolnik opowiedział o swoim zajęciu pole rolnika naturę lokalne uprawy
125,warzywa naturalne nie upiększane  promować zdrowa żywność prosto od rolnika  prawdziwy rzetelny obraz uprawy marchwii naturalna marchew wyrywana z ziemi  promować naturę 
130,marchew miałaby zachęć do spożywania marchwi jako warzywa dobrego dla zdrowia jak najlepsza prezentacja marchwi ujęcia jej zbierania mycia krojenia dodawania do obiadu  że tak zareklamowanie marchwi w akcji marchew promocję zdrowego odżywiania
134,zdrową rodzinę jedzącą marchew marchew jest zdrowa rodzina ma jeść marchew dużo marchwi jednoczenie się rodziny
136,gadające marchewki humor jak z sausage party ale w taki sposób to zrobione aby można było dowiedzieć się jakiś ciekawostek dlaczego marchewki są zdrowe ciekawostki o marchewce można byłoby pokazać jak rośnie marchew pod ziemią i dlaczego są zdrowe ale dokładniej wyjaśnić mogą być wybuchy bo słychać jak marchewki chrupią jak się je je śpiew marchewek tańczące marchewki małeduzekrzywegrube co by nie pokazywać że każda marchewka jest idealna bo czasami te duże i grube są smaczniejsze a mówi to wielbicielka marchewek p  nadać charaktery marchewką np marchewkowa magda gessler albo marchewkowi sportowcy  marchewka zdrowasportowcy którzy są uważani za zdrowych ludzi z sukcesami że pomarańczowe ręce są fajne i że to taka super moc od jedzenia marchewek d że jedzenie marchewki to zdrowie że marchewki jedzą sportowcy że jedzenie marchewki jest fajne 
140,przykładowe potrawy z wykorzystaniem marchwi  że zdrowe jedzenie nie musi być nudne prezentowanie korzyści płynących z jedzenia warzyw które można połączyć z spędzaniem czasu z rodziną i przyjaciółmi przykładowe posiłki na bazie tego warzywa zdrowy tryb życia wspólne posiłki lub ich przygotowywanie z bliskimi 
141,proces od zasiania do zbioru zdrowe odżywianie pokazanie okresu wzrostu marchwi ukazanie ciężkiej pracy rolnika to że od rolnika zależy to co jemy
142,duże czyste i świeże marchewki to że są bardzo zdrowe ogrodnik wyrywa świeże marchewki z pola sałatka warzywna z marchewką w roli głównej  zdrowie moc energie 
144,marchew ziemia pole marchwi ludzie jedzący marchew że marchew jest tania a zdrowa smaczna ktoś opowiada o składnikach marchwi co dostarcza marchew w diecie jak rośnie marchew marchew i warunki jej rośnięcia zdrowe żywienie np jako forma zdrowego drugiego śniadania dla dzieci
147,marchew produkty z niej stworzone  jak w fajny sposób wprowadzić marchew do diety pokazanie radości i profitów z jedzenia jej szczęście witaminy witalność zdrowy styl życia zdrowie samo w sobie
149,timelaps wzrostu marchwi uświadomienie konsumenta w jaki sposob obchodzono się z ww produktem spożywczym  realistyczny wywiad z właścicielem polagospodarstwa które wyhodowali reklamowana marchew marchew w rożnych stadiach wzrostu świeżość i pochodzenie produktu jest najważniejsze
151,króliki  marchew jest dobra  by króliki zajadaly się marchwia kroliki jedzace marchew ze marchew jest zdrowa i pyszniutka
152,jaskrawe kolory słońce lato wieś zdrowe odżywianie  praca przy zbiorach  krajobrazy i osoby ciemniejszej karnacji bo karoten zdrowy tryb życia 
155,    
156,ladne zdjęcia marchwi zwiększenie mojego zainteresowania tym warzywem i tym konkretnym rodzajem marchwi próba przekonania mnie o jej korzystnych właściwościach dla mojego zdrowia sposoby na jakie można czerpać korzyści ze spożywania warzywa zdrowe odżywianie inspiracje żywieniowe promocja produkcji krajowej
158,sok z marchwi w celu zakupu marchwi mycie kopanie marchwi marchew zdrowe odżywianie 
161,soczyste o wyrazistym kolorze marchewki prosto z ziemi zachęcenie do zakupu dobrych marchwi raczej spokój cisza polska wieś cały poces trafiania marchwi do sklepu aż od sadzenia jej przez rolnika dobrą ekologiczną uprawę dbanie o planetę
165,pola świeża marchew może jakieś badania  wartości odżywcze  proces jaki przechodzi marchew od zasadzenia do sklepu marchew i pola plusy jedzenia marchewki
166,chciałbym oglądać cały proces uprawy wraz z dostawą do marketu powinna skłonić odbiorcę do częstszego jedzenia marchwi jak w skrócie wygląda łańcuch dostaw produktu chciałbym zobaczyć profesjonalnie wykonane ujęcia bez zbędnych standardowych haseł reklamowych powinna pokazywać że warzywa są zdrowe i często należy je jeść
167,sposoby przygotowani marchwi w różnych potrawach oraz jej wartości odżywcze marchew jest smaczna oraz zdrowa kucharkakucharz przedstawiają różne możliwe przygotowania marchwi tym samym mówiąc o jej różnych efektach prozdrowotnych łatwe przepisy na przygotowanie marchwii dbania i zdrowie zdrowego i smacznego odżywiania 
170,osoby spożywające marchew i pokazujące jej dobre strony propagowanie korzyści wynikających z jedzenia marchwi spożywanie marchwi pokazywanie jak dobrze działa na skórę osoba robiąca na przykład szejkasok z marchwi do śniadania wraz ze swoją rodziną wszyscy pijący sok  idea korzyści wynikających z jedzenia marchwi 
173,marchew pole uprawne słońce marchew jest zdrowa i ważna w codziennej diecie prezentacja pola przez rolnika naturę zdrowy tryb życia 
174,plusy w spożywaniu marchwi  zachęcający  osoba mówiła co daje jedzenie marchwi  zachęcenie do jedzenia zdrowej żywności  zachęcenie do jedzenia zdrowo 
176,chciałbym oglądać w jakich warunkach są one uprawiane miała by ona dać do zrozumienia widzowi że marchwie są dla nas zdrowe mogliby być to zadowoleni ludzie jedzący marchew chciałbym zobaczyć jak wiele pozytywnych dla organizmu człowiekasubstancji ma marchew zdrowie jest bardzo ważne w życiupowinniśmy o siebie dbać wybierając zdrową żywność
177,przede wszystkim naturalność ponieważ nie  lubię sztucznego wyolbrzymienia  np jak ktoś z takiej marchewki próbuje zrobić coś niezwykłego budzi to pewnego rodzaju zażenowanie   patrząc na to że to prosty produkt to i prosty przekaz np wychodowanie w dobrych warunkach bez użycia różnego rodzaju chemii  akcja powinna się rozgrywać w zwykłym domowym ogródku zobaczyć jak wiele jest sposobów na wykorzystanie marchewki często zapomnianych przez młodych ludzi poczynając od wielu polskich dań takich jak rosół sałatka jarzynowa po surówki i soki    wartości zdrowego odżywiania się i zwrócenia uwagi na polskie warzywa które każdy może mieć w swoim ogrodzie i przetwarzać na wiele sposobów 
178,świeże soczyste warzywo lekki przyjemny żeby marchewki spadały z nieba olbrzymie soczyste marchewki jedz świeże warzywa  będziesz wielki
181,na pewno samą marchew najlepiej dużą i zgrabną ale swojską lekko przybrudzoną mocno pomarańczową do tego co może mi dać kupienie tej marchwi co mogę z nią zrobić jakie zawiera witaminy marchew jest zdrowa i smaczna można ją przyżądzić na wiele sposobów może jakiś pokaz kulinarny prezentacja dania z marchewką odpowiedź jak pyt  odpowiedź jak pyt 
182,proces rośnięcia marchwi pokazać że marchew jest zdrowa ludzie jedzący marchewpijący sok z marchwi polską wieś miałaby pokazać że marchew jest zdrowa
183,proces uprawy marchwi pokazanie rolników  zachęcanie do spożywania warzyw  taka sama odpowiedź jak do pytania  taka sama odpowiedź jak do pytania   popieranie rolnictwa
190,soczyste zdrowe marchewki z nacią marchewka jest zdrowa i fajnie chrupie marzy mi się jakiś zakręcony królik i jego przygody jw jedzenie warzyw wcale nie jest nudne
192,źródło rolnik  jedz to co prawdziwe a nie ładne  rolnik wyciąga z ziemi marchew marchew nie jest idealna ale prawdziwa  rolnika niekoniecznie przystojnego ciągnik niekoniecznie czysty prawda o produkcie jest kluczowa nie wybierajmy produktów oczami 
193,produkcje różny uprawa maszynami rolniczymi uprawe wszelakie
194,szczegóły dotyczące sposobu uprawy promocja zdrowego odżywiania i ekologicznych upraw z ograniczeniem używania środków chemicznych chciałbym aby ukazano wszystkie etapy produkcji chciałbym zobaczyć urywek z każdego etapu od nasion po dojrzałe marchwie gotowe do transportu zdrowe i ekologiczne jedzenie
198,uprawę marchwii ludzi jedzących marchew jedzenie marchwii jest zdrowe  marchew byłaby jedzona i uprawiana pięknie rosnącą marchew ludzi jeżdżących zdrową marchew jedzenie marchwii jest zdrowe
199,skąd pochodzi uprawa czy jest uprawiana w polsce czy jest ekologiczna i bez gmo zachęcający do wspierania polskich firm by osoba np właściciel firmy opowiadała o wartościach firmy i czym się kieruje przy produkcji swojego produktu marchew pola osobę żeby uprawy były bez gmo i ekologiczne
201,pole uprawne i marchewki  informacje o przecenie wyrywanie marchwi z ziemi  farmera zdrowe odżywianie 
203,kompozycja naturalnych barw nawiązujących do ziemi natury ukazanie procesu hodowli np timelapse przyblizający rozrost korzeni zawarte dźwięki typu łamanie marchwi ptaki na wsi  wpisanie w kompozycje wiejską i naturalną przekaz nawiązywałby do promocji polskiej marchwi wspieranie rynku miejscowego reklama ukazywałaby ludzkie dłonie przekładające produkt ludzkie spokojne twarze
205,pole rolnika traktor nature  rolnik się wypowiada o tym co robi z marchewką od małego nasionka  jest pokazane jak marchew się podlewa potem kiełkuje rośnie potem się ją wyrywa i jedzie do magazynu rolnika pole traktor może jakieś dzieci które wyrywają marchewkę  rolnictwo bez nawozów propagowanie zdrowego jedzenia 
209,osoby pracujące przy tym pokazujące jak dużo pracy w to trzeba włozyc  radosny przekonujący pełen energii mogalby byc pokazana uprawa tej rośliny i np jakaś starsza osoba ktora krótko cos o tym opowie pole i okolice z ujęcia drona  pokazująca ze tak na prawdę ciężka jest wszędzie motywem przewodnim
210,marchew zdrowa smaczna eko z polskiej uprawy pokazanie gospodarstwa wyciągnięcie jej z ziemi rodzina jak wyżej dobre odżywianie rodzina tradycja 
213,proces od zasadzenia do momentu zakupu w sklepie promowanie ojczystego rolnictwa promocja zdrowego odżywiana  ukazanie drogi jaka przechodzi od zasadzenia do wyboru przez konsumenta w sklepie  gospodarstwo pracowników zdrowe odżywianie wybór produktów ze świadomych upraw
214,środowisko naturalne pola uprawne  nie wiem nie wiem  jak wygląda proces uprawy marchwi wartości i korzyści płynące ze spożywania marchwi bądź jej wykorzystania w codziennym życiu 
216,świeżą marchew pole uprawne żywe kolory zdrowe odżywianie wspieranie polskich producentów rolnik może pokazać jak zbiera się marchew później ktoś może zrobić z niej świeży sok  jak ww zdrowy styl życia jedzenie odpowiedniej ilości owoców i warzyw wspieranie lojalnych sprzedawców
217,małe ekologiczne pola uprawne należące do rolników ludzi doceniających pracę tych ludzi oraz efekt w postaci zdrowych marchwi jednocześnie dla realizmu powinno być widać różne marchwie nie tylko te idealne duże i równe  promowanie zdrowego odżywiania naturalnego przyjmowania witamin w jedzeniu  spacer po polu opowieść o tym jakie wartości płyną z jedzenia marchewki  małe ekologiczne pola uprawne należące do rolników  zdrowe odżywianie wartości płynące ze spożywania surowej marchwi 
221,wiejskie krajobrazy i życie tamtejszych mieszkańców pokazałoby to jak trudna jest praca na roli ale ukazałoby to również że ta praca niesie za sobą niezastąpioną wartość gospodarz mógłby pieczołowicie pielęgnować plony pomimo niesprzyjających okoliczności  np choroby gdyż jest to jego obowiązek co później by mu się odwdzięczyło w postaci pożywienie i satysfakcji z jego zdobycia najważniejszym punktem byłby ten gospodarz chciałabym przede wszystkim zobaczyć jego emocje poczucie wagi wykonywanego zadania zmęczenie fizyczne a w końcu satysfakcję ta reklama promowałaby wartości bez których człowiek czuje się niespełniony tj naoczne zmienianie i ulepszanie rzeczywistości
222,produkt który jest mi oferowany  pozytywny i edukacyjny przekazujący odbiorcy informację na temat jej dobrego wpływu na zdrowie organizmu  chiciałabym aby była przejrzysta i przystępna dla każdej grupy wiekowej wolę żeby była spokojna i nieiwiele się w niej działo chciałabym aby została przedstawiona wizualizacja sposobu produkcji oraz tego jak marchew sama w sobie się rozwija  producja naturalna w zgodzie z naturą 
223,marchew  coś co mi się z nią najbardziej kojarzy np pole marchwi farmera wzrost marchwi albo coś zupełnie innego humorystycznego np zająca wcinającego  miałaby zasugerować mi że właśnie ta marchew zawiera wszystkie wartości odżywcze i jest warta zagoszczenia w mojej kuchni  humorystyczne podejście zdecydowanie bardziej przykuwaj uwagę więc warto byłoby aby producent z umiarem zadbał o komfort oglądania npzając zajadający marchew na polu uprawnym i opowiadający o jej wartościach odżywczych  przede wszystkim to dlaczego akurat ta marchew jest lepsza od innych  przede wszystkim promować zdrowe odżywianie może podsuwać pomysł na zdrowe przekąski bądź przepisy na dania z marchewką oraz pokazywać że produkty te są nie tylko zdrowe ale i smaczne 
226,kreatywne przedstawienie właściwości marchwii które ma zachęcić mnie do ich kupna ma mnie zachęcić do kupna taki z reguły jest przekaz reklamy pościgi wybuchy odp  miałaby pokazać właściwości marchwii
228,potrawy z wykorzystaniem marchwi duże hodowle marchwi tak jak jest to pokazywane w niektórych reklamach np herbat zachęcać do jedzenia większej ilości warzyw  kucharz przygotowujący potrawy z wykorzystaniem marchwi osoba przechadzającą się po hodowli lub dzieci zajadające się marcheweczkami w szkole lub przedszkolu  ludzi niekoniecznie wpisujących się w przyjęte przez społeczeństwo kanony piękna  pokazywać jak jedzenie warzyw i owoców wpływa na prawidłowy rozwój organizmu oraz jak zmniejsza poziom zanieczyszczenia środowiska 
230,jej zastosowanie w potrawach  je wartości odżywcze i dlaczego trzeba ją jeść  przygotowanie potraw  gotującego mężczyznę  zdrowe odżywianie 
231,dorodne warzywo potrawę z marchewki  zachęcić do kupowania i spożywania większej ilości marchewek proces jej rozwoju i późniejszej obróbki  apetyczną potrawę z marchewki  zrównoważone rolnictwo i zdrowe żywienie
232,smaczne potrawy lub świeże ładnie wyglądające produkty ilość witamin w marchwi oraz plusy jej spożywania przygotowanie potraw z marchwią dużo uśmiechniętych ludzi promowanie zdrowego odżywiania
234,rzeczydania z których można przyrządzić posiłki  prozdrowotny provege zalety jedzenia marchwi  sposoby przyrządzania marchwi w posiłkach  zdrowe odżywianie promocje zdrowej żywności  
235,marchewki świeżość zdrowie robienie soku pole szczesliwi ludzie domek na wsi zdrowie promienność życzliwośc
242,jej niecodzienne zastosowanie  by ukazać jej niecodzienne zastosowanie  przetwarzanie jej na nieznane rzeczy  coś czego nie widziałam  jej nowe zastosowanie 
244,dobre aktorstwo naturalność mam na myśli brak nachalności podczas prezentacji produktu pozytywny żartobliwy  sceny nawiązujące szczególnie do kultury obecnych wydarzeń łączenie przeszłości z przyszłością nawiązania do popkultury legend sławnych postaci zdrowie samorealizacja szczęście
246,mogę powiedzieć że idealnie wolałbym nie oglądać dunno wyobrażam sobie jakąś szczęśliwą rodzinę pijącą sok z marchewki takie klimaty pewnie coś w stylu nasza marchewka jest najzdrowsza najsmaczniejsza ogólnie naj o to jest najcięższe ale chyba pasuje mi to samo co w pierwszym pytaniu czy nie jest to powtórzenie  jeżeli nie bo nie jestem pewien  dlaczego mam kupić tą marchew cenę w jakich sklepach jest dostępna idee reklamy mają na celu sprzedanie produktu wmawianie idei jest dla mnie hipokryzją a jak już trzeba to coś w stylu że warto dbać o zdrowie samopoczucie itp
249,myślę że ważne byłoby ukazanie zdrowotnych aspektów jedzenia marchwi marchewki i warzywa ogólnie  zdrowie zbieranie marchewek ujęte w miłej dla oka kompozycji np w słoneczny poranek  dodawanie marchwi do różnych potraw eksponowanie jej w dobrze wyglądających zdrowych daniach promowanie zdrowa poprzez dodawanie warzyw do codziennej diety
